Membership Plan,4 New Members,Net Increase,Sponsor New Kiwanis Club,Apppointed Membership Chair,Use ACE Tools,Officer Attended CLE,Convention Attendance,Attended Amplify,Signature Project Contest Entry,Annual Signature Project,Sponsors a Service Leadership Program,Supports a Local Children-focused Organization,KCF Support,Completed a Club Fundraising Project,Active Partnership with KI or Local Partner,Received Positive Media Coverage,Completed Youth Protection Education,Appointed PR Chair,Points earned,District ID,District Name,Club ID,Club Name
0,0,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,5,65,K30,Wisconsin-Upper Michigan,K00069,Downtown Madison
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K08,Indiana,K00070,Grant County Indiana
0,0,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,60,K11,Louisiana-Mississippi-West Tennessee,K00071,Memphis
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,60,K30,Wisconsin-Upper Michigan,K00073,Milwaukee
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K10,Kentucky-Tennessee,K00078,Nashville
0,0,0,0,0,5,0,5,0,0,5,15,5,15,5,5,5,0,0,65,K20,Ohio,K00080,Newark
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,5,5,50,K17,New England and Bermuda,K00081,New Haven
5,0,0,0,5,5,10,5,5,5,5,15,5,15,5,5,5,5,0,100,K11,Louisiana-Mississippi-West Tennessee,K00082,New Orleans
5,0,0,0,5,5,10,5,5,0,5,15,5,0,5,5,5,0,5,80,K19,New York,K00084,Niagara Falls
5,0,0,0,5,5,10,5,0,0,5,0,5,10,5,5,5,5,0,70,K03,Capital,K00085,Norfolk
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K26,Texas-Oklahoma,K00087,Oklahoma City
0,0,0,0,5,5,10,5,0,0,5,0,5,0,5,5,5,0,5,55,K16,Nebraska-Iowa,K00088,Omaha
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K30,Wisconsin-Upper Michigan,K00089,Oshkosh
0,15,20,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,110,K21,Eastern Canada and the Caribbean,K00090,Ottawa
0,15,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,75,K07,Illinois-Eastern Iowa,K00092,Peoria
0,15,0,0,5,5,10,5,0,5,5,15,5,0,5,5,5,0,0,85,K25,Southwest,K00094,Phoenix
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,55,K17,New England and Bermuda,K00096,Portland
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K23,Pennsylvania,K00098,Pottsville
0,0,0,0,0,5,10,5,0,0,5,15,5,15,5,5,5,0,0,75,K23,Pennsylvania,K00101,Greater Reading-Berks County
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K28,Western Canada,K00102,Regina-Wascana
5,15,20,0,5,5,10,5,5,5,5,15,5,15,5,5,5,5,5,140,K03,Capital,K00103,Richmond
5,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K19,New York,K00104,Rochester
5,15,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,80,K07,Illinois-Eastern Iowa,K00105,Rockford
0,15,0,0,0,5,10,5,5,0,5,0,5,15,5,5,5,5,0,85,K12,Michigan,K00106,Saginaw
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K27,Utah-Idaho,K00107,Salt Lake City
0,0,0,0,0,5,10,5,0,0,5,0,5,15,5,5,5,5,0,65,K26,Texas-Oklahoma,K00108,San Antonio-Bexar
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K28,Western Canada,K00109,Saskatoon
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,5,5,85,K19,New York,K00110,Schenectady
5,15,20,0,0,5,10,5,0,0,5,0,5,0,5,5,5,0,0,85,K23,Pennsylvania,K00111,Scranton
0,0,0,0,0,5,0,5,5,0,5,0,5,0,5,5,5,0,0,40,K08,Indiana,K00113,South Bend
0,0,0,0,0,5,10,5,0,0,5,15,5,15,5,5,5,5,0,80,K17,New England and Bermuda,K00114,Springfield
0,0,0,0,5,5,0,5,0,5,5,15,5,0,5,5,5,0,5,65,K20,Ohio,K00115,Springfield
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K17,New England and Bermuda,K00116,Stamford
5,15,20,0,5,5,0,5,0,0,5,15,5,0,5,5,5,5,5,105,K22,Pacific Northwest,K00120,Tacoma
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K20,Ohio,K00121,Toledo
0,15,20,0,5,5,10,5,0,0,5,0,5,0,5,5,5,5,5,95,K21,Eastern Canada and the Caribbean,K00122,Toronto
0,0,0,0,5,5,0,5,0,0,5,0,5,15,5,5,5,0,0,55,K18,New Jersey,K00123,Trenton
5,15,20,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,115,K26,Texas-Oklahoma,K00124,Tulsa
0,15,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,5,0,80,K19,New York,K00125,Utica
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,5,5,65,K22,Pacific Northwest,K00126,Vancouver
5,15,0,0,5,5,10,5,5,5,5,15,5,0,5,5,5,5,5,105,K03,Capital,K00127,Washington
5,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K03,Capital,K00128,Wheeling
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,60,K23,Pennsylvania,K00129,Wilkes-Barre
5,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,5,0,65,K23,Pennsylvania,K00130,Williamsport
5,15,0,0,5,5,10,5,5,5,5,0,5,0,5,5,5,5,5,90,K21,Eastern Canada and the Caribbean,K00132,Windsor
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,55,K28,Western Canada,K00133,Winnipeg
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,5,5,50,K17,New England and Bermuda,K00135,Worcester
0,0,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,55,K20,Ohio,K00137,Boardman-Youngstown
5,15,20,0,0,5,0,5,0,5,5,15,5,0,5,5,5,5,0,100,K20,Ohio,K00138,Lancaster
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K01,Alabama,K00139,Mobile
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,75,K20,Ohio,K00142,Norwalk
0,0,0,0,0,5,10,5,0,5,5,15,5,0,5,5,5,0,0,65,K05,Florida,K00143,Tampa
5,15,20,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,80,K28,Western Canada,K00144,Calgary
0,0,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,5,5,65,K05,Florida,K00148,Pensacola
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K01,Alabama,K00149,Gadsden
5,0,0,0,0,5,0,5,0,0,5,15,5,15,5,5,5,0,0,70,K01,Alabama,K00150,Huntsville
0,0,0,0,0,5,0,5,0,5,5,15,5,15,5,5,5,,0,70,K08,Indiana,K00151,Franklin
5,15,0,0,5,5,10,5,5,0,5,15,5,0,5,5,5,5,5,100,K07,Illinois-Eastern Iowa,K00152,Freeport
5,15,0,0,5,5,10,5,0,0,5,0,5,0,5,5,5,0,5,75,K12,Michigan,K00153,Battle Creek
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K04,Carolinas,K00154,Asheville
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K26,Texas-Oklahoma,K00155,Corpus Christi
5,15,0,0,5,5,0,5,0,5,5,15,5,0,5,5,5,0,5,85,K20,Ohio,K00156,Lima
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,55,K04,Carolinas,K00158,Charlotte
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K28,Western Canada,K00159,Edmonton
5,0,0,0,5,5,0,5,0,5,5,15,5,0,5,5,5,5,5,75,K02,California-Nevada-Hawaii,K00160,Long Beach
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K04,Carolinas,K00161,Greenville
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,45,K28,Western Canada,K00163,Thunder Bay
5,15,20,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,80,K04,Carolinas,K00164,Spartanburg
5,0,0,0,5,5,10,5,5,0,5,15,5,0,5,5,5,0,0,75,K23,Pennsylvania,K00165,Greensburg
0,15,0,0,5,5,10,5,0,0,5,0,5,15,5,5,5,0,5,85,K11,Louisiana-Mississippi-West Tennessee,K00166,Lake Charles
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,0,40,K04,Carolinas,K00167,Greensboro
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,45,K26,Texas-Oklahoma,K00169,Muskogee
5,0,0,0,0,5,0,5,5,0,5,0,5,0,5,5,5,0,0,45,K30,Wisconsin-Upper Michigan,K00171,La Crosse
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K07,Illinois-Eastern Iowa,K00173,Galesburg
0,15,20,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,0,90,K01,Alabama,K00174,Montgomery
0,0,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,60,K08,Indiana,K00175,Logansport
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K06,Georgia,K00177,Rome
0,0,0,0,0,5,0,5,5,5,5,15,5,10,5,5,5,0,0,70,K20,Ohio,K00178,Sandusky
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K30,Wisconsin-Upper Michigan,K00181,New Richmond
0,15,0,0,5,5,10,5,0,0,5,15,5,10,5,5,5,5,5,100,K03,Capital,K00182,Roanoke
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K04,Carolinas,K00183,Winston-Salem
5,15,20,0,5,5,0,5,0,0,5,15,5,15,5,5,5,5,0,115,K09,Kansas,K00184,Lawrence
5,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,70,K07,Illinois-Eastern Iowa,K00186,Rock Island
0,15,0,0,0,5,10,5,0,0,5,0,5,0,5,5,5,0,0,60,K07,Illinois-Eastern Iowa,K00188,Kankakee
0,15,20,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,95,K20,Ohio,K00189,Medina
0,15,0,0,5,5,10,5,0,5,5,15,5,10,5,5,5,5,5,105,K10,Kentucky-Tennessee,K00190,Maryville
0,15,0,0,5,5,0,5,0,5,5,15,5,0,5,5,5,5,5,85,K06,Georgia,K00191,Columbus
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,80,K04,Carolinas,K00193,Raleigh
5,15,20,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,100,K10,Kentucky-Tennessee,K00194,Lexington Blue Grass
5,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,60,K03,Capital,K00195,Portsmouth
0,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,75,K03,Capital,K00196,Lynchburg
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K22,Pacific Northwest,K00198,Victoria
0,15,0,0,5,5,10,5,0,0,5,0,5,0,5,5,5,5,0,70,K10,Kentucky-Tennessee,K00199,Morristown
0,15,20,0,5,5,10,5,0,5,5,15,5,15,5,5,5,5,0,125,K08,Indiana,K00201,Wabash
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K04,Carolinas,K00202,Durham
5,15,0,0,5,5,10,5,5,0,5,15,5,15,5,5,5,5,5,115,K07,Illinois-Eastern Iowa,K00204,Dubuque
5,0,0,0,5,5,0,5,0,5,5,15,5,10,5,5,5,5,5,85,K26,Texas-Oklahoma,K00207,Bartlesville
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K10,Kentucky-Tennessee,K00208,Johnson City
5,0,0,0,5,5,10,5,0,0,5,15,5,10,5,5,5,0,0,80,K07,Illinois-Eastern Iowa,K00209,Elgin
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,80,K06,Georgia,K00210,Augusta
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,60,K06,Georgia,K00211,Savannah
5,15,0,0,5,5,0,5,5,5,5,15,5,15,5,5,5,0,5,105,K20,Ohio,K00212,Findlay
0,0,0,0,0,5,10,5,0,0,5,0,5,0,5,5,5,0,0,45,K07,Illinois-Eastern Iowa,K00213,Davenport
0,15,0,0,5,5,0,5,0,0,5,15,5,15,5,5,5,0,5,90,K04,Carolinas,K00214,Wilmington
5,15,20,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,85,K06,Georgia,K00215,Athens
0,15,20,0,5,5,0,5,0,0,5,15,5,15,5,5,5,0,0,105,K04,Carolinas,K00216,Columbia
0,15,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,90,K07,Illinois-Eastern Iowa,K00217,Quincy
5,15,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,95,K07,Illinois-Eastern Iowa,K00218,Danville
5,0,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,65,K07,Illinois-Eastern Iowa,K00219,Joliet
0,15,20,0,0,5,0,5,5,0,5,15,5,0,5,5,5,0,0,90,K06,Georgia,K00220,Macon
0,15,20,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,90,K12,Michigan,K00221,Blue Water Area/Port Huron
0,0,0,0,0,5,0,5,0,0,5,15,5,15,5,5,5,5,0,70,K22,Pacific Northwest,K00223,Eugene
0,0,0,0,0,5,10,5,0,0,5,0,5,0,5,5,5,0,0,45,K07,Illinois-Eastern Iowa,K00224,Clinton
0,15,0,0,5,5,10,5,5,0,5,15,5,0,5,5,5,0,0,85,K10,Kentucky-Tennessee,K00225,Columbia
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K26,Texas-Oklahoma,K00226,Enid
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K19,New York,K00227,Jamestown
5,15,0,0,5,5,0,5,0,0,5,0,5,10,5,5,5,5,5,80,K06,Georgia,K00228,Americus
0,0,0,0,5,5,0,5,5,0,5,0,5,0,5,5,5,0,0,45,K01,Alabama,K00229,Bessemer
5,15,0,0,5,5,0,5,0,0,5,15,5,10,5,5,5,0,5,90,K01,Alabama,K00230,Decatur
0,15,0,0,0,5,0,5,0,0,5,0,5,10,5,5,5,5,0,65,K13,Minnesota-Dakotas,K00231,Sioux Falls
0,15,0,0,5,5,0,5,5,0,5,0,5,0,5,5,5,0,0,60,K04,Carolinas,K00232,Greenwood
0,15,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,50,K26,Texas-Oklahoma,K00233,Ardmore
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K30,Wisconsin-Upper Michigan,K00234,Marinette
5,15,0,0,5,5,0,5,0,0,5,15,5,10,5,5,5,0,0,85,K06,Georgia,K00235,Albany-Dougherty County
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K04,Carolinas,K00236,Burlington
0,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,75,K02,California-Nevada-Hawaii,K00239,Pasadena
0,15,20,0,0,5,10,5,5,0,5,15,5,0,5,5,5,0,0,100,K01,Alabama,K00241,Opelika
0,0,0,0,5,5,0,5,0,0,5,0,5,10,5,5,5,0,5,55,K07,Illinois-Eastern Iowa,K00243,Moline
5,0,0,0,0,5,10,5,0,0,5,15,5,10,5,5,5,5,0,80,K26,Texas-Oklahoma,K00244,Amarillo
0,15,0,0,0,5,10,5,0,0,5,15,5,0,5,5,5,0,0,75,K10,Kentucky-Tennessee,K00245,Ashland
0,15,0,0,5,5,10,5,5,5,5,15,5,0,5,5,5,5,5,100,K08,Indiana,K00246,Kokomo
0,0,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,5,5,50,K16,Nebraska-Iowa,K00247,Fort Dodge
0,0,0,0,0,5,0,5,0,0,5,15,5,10,5,5,5,0,0,60,K02,California-Nevada-Hawaii,K00248,Oakland
0,15,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,70,K14,Missouri-Arkansas,K00249,Joplin
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K04,Carolinas,K00250,Rocky Mount
0,15,20,0,0,5,10,5,0,0,5,15,5,0,5,5,5,5,0,100,K10,Kentucky-Tennessee,K00251,Clarksville
0,0,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,60,K20,Ohio,K00254,Warren
5,15,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,5,5,70,K04,Carolinas,K00256,High Point
0,0,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,75,K07,Illinois-Eastern Iowa,K00257,Pekin
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K25,Southwest,K00259,Gallup
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,5,40,K26,Texas-Oklahoma,K00260,Plainview
0,15,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,50,K06,Georgia,K00261,Milledgeville
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K30,Wisconsin-Upper Michigan,K00262,Beloit
5,15,0,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,80,K20,Ohio,K00263,Mansfield
5,0,0,0,5,5,10,5,0,0,5,0,5,0,5,5,5,0,0,55,K16,Nebraska-Iowa,K00264,Waterloo
5,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,5,60,K08,Indiana,K00265,Vincennes
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K08,Indiana,K00266,Terre Haute
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K02,California-Nevada-Hawaii,K00267,San Francisco
5,0,0,0,5,5,10,5,0,0,5,15,5,0,5,5,5,5,5,80,K08,Indiana,K00268,Bloomington
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K11,Louisiana-Mississippi-West Tennessee,K00269,Greenwood
0,15,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,65,K13,Minnesota-Dakotas,K00271,Hibbing
0,15,20,0,0,5,0,5,5,0,5,15,5,0,5,5,5,0,0,90,K14,Missouri-Arkansas,K00272,Springfield (Downtown)
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K08,Indiana,K00273,Bedford
0,15,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,50,K03,Capital,K00274,Fairmont
0,0,0,0,0,5,10,5,0,0,5,0,5,0,5,5,5,0,0,45,K19,New York,K00276,Tonawandas (The)
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K01,Alabama,K00277,Anniston
0,15,20,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,70,K13,Minnesota-Dakotas,K00278,Chisholm
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,0,0,50,K10,Kentucky-Tennessee,K00281,Cleveland
0,15,20,0,5,5,0,5,0,0,5,15,5,0,5,5,5,0,5,95,K04,Carolinas,K00283,Goldsboro
0,15,0,0,5,5,0,5,0,0,5,0,5,0,5,5,5,0,5,60,K26,Texas-Oklahoma,K00285,Galveston
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,5,0,40,K16,Nebraska-Iowa,K00286,Sioux City
0,0,20,0,0,5,0,5,0,0,5,0,5,0,5,5,5,5,0,60,K22,Pacific Northwest,K00287,Downtown Spokane
0,0,0,0,0,5,0,5,0,0,5,0,5,0,5,5,5,0,0,35,K08,Indiana,K00288,Peru-Grissom
0,0,0,0,0,5,0,5,0,0,5,15,5,0,5,5,5,5,0,55,K03,Capital,K00289,Clarksburg
0,15,0,0,0,5,0,5,0,5,5,15,5,0,5,5,5,0,0,70,K27,Utah-Idaho,K00290,Pocatello
